Dataset: mnist | Train: 54000 | Val: 6000 | Test: 10000
Train: (54000, 784)  Val: (6000, 784)  Test: (10000, 784)
Architecture: 784 → [128, 32] → 10
Optimizer: rmsprop  LR: 0.0001  Loss: cross_entropy
Epoch   1/50 | loss=0.8019 | train_acc=0.8943 | val_acc=0.8928 | val_f1=0.8913 | test_acc=0.8969 | test_f1=0.8948
Epoch   2/50 | loss=0.3927 | train_acc=0.9123 | val_acc=0.9107 | val_f1=0.9097 | test_acc=0.9150 | test_f1=0.9137
Epoch   3/50 | loss=0.3212 | train_acc=0.9223 | val_acc=0.9172 | val_f1=0.9164 | test_acc=0.9214 | test_f1=0.9204
Epoch   4/50 | loss=0.2859 | train_acc=0.9282 | val_acc=0.9257 | val_f1=0.9249 | test_acc=0.9269 | test_f1=0.9259
Epoch   5/50 | loss=0.2631 | train_acc=0.9334 | val_acc=0.9283 | val_f1=0.9276 | test_acc=0.9320 | test_f1=0.9311
Epoch   6/50 | loss=0.2457 | train_acc=0.9372 | val_acc=0.9320 | val_f1=0.9314 | test_acc=0.9346 | test_f1=0.9337
Epoch   7/50 | loss=0.2315 | train_acc=0.9408 | val_acc=0.9348 | val_f1=0.9343 | test_acc=0.9388 | test_f1=0.9380
Epoch   8/50 | loss=0.2195 | train_acc=0.9429 | val_acc=0.9358 | val_f1=0.9353 | test_acc=0.9401 | test_f1=0.9394
Epoch   9/50 | loss=0.2089 | train_acc=0.9458 | val_acc=0.9377 | val_f1=0.9372 | test_acc=0.9437 | test_f1=0.9431
Epoch  10/50 | loss=0.1996 | train_acc=0.9488 | val_acc=0.9425 | val_f1=0.9421 | test_acc=0.9449 | test_f1=0.9443
Epoch  11/50 | loss=0.1910 | train_acc=0.9511 | val_acc=0.9453 | val_f1=0.9450 | test_acc=0.9479 | test_f1=0.9473
Epoch  12/50 | loss=0.1830 | train_acc=0.9529 | val_acc=0.9463 | val_f1=0.9460 | test_acc=0.9488 | test_f1=0.9483
Epoch  13/50 | loss=0.1761 | train_acc=0.9544 | val_acc=0.9490 | val_f1=0.9487 | test_acc=0.9500 | test_f1=0.9495
Epoch  14/50 | loss=0.1699 | train_acc=0.9557 | val_acc=0.9480 | val_f1=0.9477 | test_acc=0.9503 | test_f1=0.9497
Epoch  15/50 | loss=0.1643 | train_acc=0.9579 | val_acc=0.9513 | val_f1=0.9510 | test_acc=0.9544 | test_f1=0.9540
Epoch  16/50 | loss=0.1589 | train_acc=0.9587 | val_acc=0.9530 | val_f1=0.9527 | test_acc=0.9545 | test_f1=0.9540
Epoch  17/50 | loss=0.1543 | train_acc=0.9603 | val_acc=0.9523 | val_f1=0.9520 | test_acc=0.9564 | test_f1=0.9560
Epoch  18/50 | loss=0.1497 | train_acc=0.9609 | val_acc=0.9545 | val_f1=0.9542 | test_acc=0.9569 | test_f1=0.9564
Epoch  19/50 | loss=0.1460 | train_acc=0.9628 | val_acc=0.9553 | val_f1=0.9551 | test_acc=0.9581 | test_f1=0.9577
Epoch  20/50 | loss=0.1424 | train_acc=0.9636 | val_acc=0.9565 | val_f1=0.9563 | test_acc=0.9592 | test_f1=0.9588
Epoch  21/50 | loss=0.1389 | train_acc=0.9637 | val_acc=0.9567 | val_f1=0.9564 | test_acc=0.9589 | test_f1=0.9585
Epoch  22/50 | loss=0.1359 | train_acc=0.9649 | val_acc=0.9577 | val_f1=0.9574 | test_acc=0.9609 | test_f1=0.9606
Epoch  23/50 | loss=0.1332 | train_acc=0.9661 | val_acc=0.9573 | val_f1=0.9571 | test_acc=0.9611 | test_f1=0.9608
Epoch  24/50 | loss=0.1304 | train_acc=0.9664 | val_acc=0.9580 | val_f1=0.9578 | test_acc=0.9620 | test_f1=0.9617
Epoch  25/50 | loss=0.1283 | train_acc=0.9680 | val_acc=0.9590 | val_f1=0.9588 | test_acc=0.9628 | test_f1=0.9625
Epoch  26/50 | loss=0.1260 | train_acc=0.9684 | val_acc=0.9600 | val_f1=0.9597 | test_acc=0.9637 | test_f1=0.9634
Epoch  27/50 | loss=0.1238 | train_acc=0.9691 | val_acc=0.9600 | val_f1=0.9597 | test_acc=0.9647 | test_f1=0.9644
Epoch  28/50 | loss=0.1222 | train_acc=0.9701 | val_acc=0.9622 | val_f1=0.9619 | test_acc=0.9657 | test_f1=0.9654
Epoch  29/50 | loss=0.1202 | train_acc=0.9702 | val_acc=0.9617 | val_f1=0.9615 | test_acc=0.9658 | test_f1=0.9655
Epoch  30/50 | loss=0.1188 | train_acc=0.9710 | val_acc=0.9600 | val_f1=0.9598 | test_acc=0.9660 | test_f1=0.9657
Epoch  31/50 | loss=0.1169 | train_acc=0.9717 | val_acc=0.9613 | val_f1=0.9611 | test_acc=0.9667 | test_f1=0.9664
Epoch  32/50 | loss=0.1155 | train_acc=0.9718 | val_acc=0.9622 | val_f1=0.9619 | test_acc=0.9668 | test_f1=0.9666
Epoch  33/50 | loss=0.1142 | train_acc=0.9725 | val_acc=0.9615 | val_f1=0.9613 | test_acc=0.9677 | test_f1=0.9675
Epoch  34/50 | loss=0.1131 | train_acc=0.9727 | val_acc=0.9642 | val_f1=0.9639 | test_acc=0.9678 | test_f1=0.9676
Epoch  35/50 | loss=0.1119 | train_acc=0.9728 | val_acc=0.9620 | val_f1=0.9619 | test_acc=0.9677 | test_f1=0.9675
Epoch  36/50 | loss=0.1108 | train_acc=0.9732 | val_acc=0.9643 | val_f1=0.9641 | test_acc=0.9680 | test_f1=0.9678
Epoch  37/50 | loss=0.1098 | train_acc=0.9736 | val_acc=0.9652 | val_f1=0.9650 | test_acc=0.9688 | test_f1=0.9686
Epoch  38/50 | loss=0.1088 | train_acc=0.9743 | val_acc=0.9648 | val_f1=0.9647 | test_acc=0.9682 | test_f1=0.9680
Epoch  39/50 | loss=0.1078 | train_acc=0.9736 | val_acc=0.9658 | val_f1=0.9657 | test_acc=0.9686 | test_f1=0.9684
Epoch  40/50 | loss=0.1073 | train_acc=0.9739 | val_acc=0.9648 | val_f1=0.9646 | test_acc=0.9692 | test_f1=0.9690
Epoch  41/50 | loss=0.1064 | train_acc=0.9758 | val_acc=0.9670 | val_f1=0.9669 | test_acc=0.9705 | test_f1=0.9704
Epoch  42/50 | loss=0.1057 | train_acc=0.9739 | val_acc=0.9638 | val_f1=0.9636 | test_acc=0.9694 | test_f1=0.9692
Epoch  43/50 | loss=0.1049 | train_acc=0.9751 | val_acc=0.9652 | val_f1=0.9650 | test_acc=0.9695 | test_f1=0.9693
Epoch  44/50 | loss=0.1040 | train_acc=0.9750 | val_acc=0.9668 | val_f1=0.9667 | test_acc=0.9699 | test_f1=0.9697
Epoch  45/50 | loss=0.1034 | train_acc=0.9755 | val_acc=0.9655 | val_f1=0.9654 | test_acc=0.9700 | test_f1=0.9699
Epoch  46/50 | loss=0.1031 | train_acc=0.9762 | val_acc=0.9658 | val_f1=0.9657 | test_acc=0.9704 | test_f1=0.9702
Epoch  47/50 | loss=0.1023 | train_acc=0.9764 | val_acc=0.9678 | val_f1=0.9677 | test_acc=0.9710 | test_f1=0.9708
Epoch  48/50 | loss=0.1015 | train_acc=0.9760 | val_acc=0.9655 | val_f1=0.9653 | test_acc=0.9714 | test_f1=0.9713
Epoch  49/50 | loss=0.1011 | train_acc=0.9766 | val_acc=0.9670 | val_f1=0.9668 | test_acc=0.9706 | test_f1=0.9704
